cidade,codigo_pais,temperatura,sensacao_termica,temperatura_min,temperatura_max,umidade,descricao_clima,horario_medicao
Mamoudzou,YT,25.79,26.46,25.79,25.79,78,céu limpo,26/09/2025 18:13:56
Nassau,BS,31.99,38.97,31.99,31.99,66,nublado,26/09/2025 18:12:54
Dili,TL,26.22,26.22,26.22,26.22,67,nublado,26/09/2025 18:14:00
Bridgetown,BB,32.27,38.36,32.27,32.27,62,algumas nuvens,26/09/2025 18:09:53
Monaco,MC,18.94,18.72,17.47,19.88,70,algumas nuvens,26/09/2025 18:14:03
Victoria,SC,25.59,26.53,25.59,25.59,89,nuvens dispersas,26/09/2025 18:10:00
Mata-Utu,WF,27.29,30.4,27.29,27.29,80,chuva leve,26/09/2025 18:14:06
Adamstown,PN,21.2,21.62,21.2,21.2,86,chuva leve,26/09/2025 18:10:03
Tunis,TN,30.19,29.27,30.19,30.19,34,chuva leve,26/09/2025 18:14:10
Palikir,FM,24.41,25.36,24.41,24.41,94,chuva leve,26/09/2025 18:14:12
Sarajevo,BA,17.95,17.68,17.95,17.95,72,algumas nuvens,26/09/2025 18:10:37
Damascus,SY,24.42,23.6,24.42,24.42,26,algumas nuvens,26/09/2025 18:10:10
Manama,BH,30.55,37.55,30.55,30.99,81,céu limpo,26/09/2025 18:14:16
Jakarta,ID,27.11,29.79,26.61,27.27,78,nublado,26/09/2025 18:10:49
Moroni,KM,24.65,25.29,24.65,24.65,81,algumas nuvens,26/09/2025 18:14:19
Freetown,SL,26.68,29.2,26.68,26.68,82,chuva leve,26/09/2025 18:10:16
Budapest,HU,13.18,12.75,12.66,13.37,84,céu limpo,26/09/2025 18:14:22
Naypyidaw,MM,23.53,24.47,23.53,23.53,97,nublado,26/09/2025 18:10:18
Kingston,NF,16.23,16.21,16.23,16.23,88,algumas nuvens,26/09/2025 18:10:21
Amman,JO,22.05,22.09,21.75,22.05,68,algumas nuvens,26/09/2025 18:13:34
Honiara,SB,25.22,26.1,25.22,25.22,88,nublado,26/09/2025 18:14:29
Suva,FJ,21.71,22.55,21.71,21.71,100,nuvens dispersas,26/09/2025 18:14:30
Libreville,GA,25.24,26.04,25.24,25.24,85,nublado,26/09/2025 18:10:27
Montevideo,UY,21.29,20.68,20.84,22.01,46,céu limpo,26/09/2025 18:10:31
Rome,IT,21.71,21.61,20.79,21.83,64,céu limpo,26/09/2025 18:09:45
Nouakchott,MR,35.96,42.96,35.96,35.96,64,nublado,26/09/2025 18:10:37
Brussels,BE,12.09,11.39,11.56,13.2,78,céu limpo,26/09/2025 18:13:27
Nairobi,KE,19.16,18.83,19.16,19.16,65,nublado,26/09/2025 18:13:19
Vienna,AT,13.6,13.42,12.71,14.38,92,chuva leve,26/09/2025 18:11:27
Funafuti,TV,27.27,30.24,27.27,27.27,79,algumas nuvens,26/09/2025 18:14:47
Mbabane,SZ,14.48,13.86,14.48,14.48,72,nublado,26/09/2025 18:14:49
Vientiane,LA,24.61,25.71,24.61,24.61,99,nublado,26/09/2025 18:10:46
Sofia,BG,14.83,14.12,14.83,14.83,67,nublado,26/09/2025 18:14:53
Ashgabat,TM,20.92,20.19,20.92,20.92,43,céu limpo,26/09/2025 18:14:55
Singapore,SG,28.43,33.38,27.95,29.4,81,nublado,26/09/2025 18:10:02
Dhaka,BD,27.99,31.77,27.99,27.99,78,neblina,26/09/2025 18:10:28
Bern,CH,9.9,9.9,9.72,11.36,92,chuva moderada,26/09/2025 18:14:59
Amsterdam,NL,12.82,12.01,12.11,13.83,71,nuvens dispersas,26/09/2025 18:15:00
Longyearbyen,SJ,3.91,3.91,3.91,3.91,87,nuvens dispersas,26/09/2025 18:15:02
Vaduz,LI,13.33,13.09,12.17,13.7,91,chuva moderada,26/09/2025 18:15:06
Asunción,PY,30.71,31.44,29.69,31.39,46,céu limpo,26/09/2025 18:10:12
Maputo,MZ,21.24,21.46,20.82,21.24,78,algumas nuvens,26/09/2025 18:15:10
Dublin,IE,14.05,13.44,13.36,14.58,74,nublado,26/09/2025 18:15:00
Stockholm,SE,9.81,9.81,8.86,11.21,87,céu limpo,26/09/2025 18:14:14
Brazzaville,CG,29.6,30.92,29.6,29.6,53,nublado,26/09/2025 18:11:10
Bissau,GW,32.06,37.84,32.06,32.06,62,chuva leve,26/09/2025 18:15:19
Antananarivo,MG,15.98,15.93,15.98,15.98,88,nuvens dispersas,26/09/2025 18:14:08
Tripoli,LY,27.92,28.72,27.92,27.92,54,algumas nuvens,26/09/2025 18:15:23
Ljubljana,SI,14.77,14.76,14.08,15.01,94,nublado,26/09/2025 18:15:26
Chișinău,MD,13.24,11.61,13.24,13.24,38,céu limpo,26/09/2025 18:15:28
Castries,LC,30.87,37.87,30.87,30.87,100,nublado,26/09/2025 18:13:01
Baku,AZ,16.03,15.7,16.03,16.03,77,nublado,26/09/2025 18:14:49
Lusaka,ZM,22.14,21.4,22.14,22.14,38,céu limpo,26/09/2025 18:10:58
Malabo,GQ,25.65,26.62,25.65,25.65,90,nublado,26/09/2025 18:15:33
Saipan,MP,26.39,26.39,26.39,29.95,83,céu limpo,26/09/2025 18:15:35
Santiago,CL,9.0,6.72,7.25,10.79,92,chuva moderada,26/09/2025 18:15:39
Kigali,RW,22.07,21.9,22.07,22.71,60,algumas nuvens,26/09/2025 18:15:42
Jamestown,SH,16.87,16.62,16.87,16.87,77,nublado,26/09/2025 18:15:44
Kampala,UG,20.95,20.85,20.95,20.95,67,nublado,26/09/2025 18:15:45
Algiers,DZ,22.9,23.05,22.9,22.9,69,nuvens dispersas,26/09/2025 18:15:46
Thimphu,BT,11.06,10.49,11.06,11.06,87,nuvens dispersas,26/09/2025 18:15:48
Hagåtña,GU,25.56,26.57,25.47,26.01,92,céu limpo,26/09/2025 18:15:49
Baghdad,IQ,28.95,27.38,28.95,28.95,18,céu limpo,26/09/2025 18:11:21
Helsinki,FI,10.09,9.48,8.58,11.54,89,céu limpo,26/09/2025 18:14:04
Juba,SS,21.9,22.57,21.9,21.9,93,chuva leve,26/09/2025 18:15:55
Niamey,NE,33.16,36.32,33.16,33.16,49,algumas nuvens,26/09/2025 18:15:01
Kathmandu,NP,21.12,21.9,21.12,21.12,100,trovoadas,26/09/2025 18:15:09
Plymouth,MS,30.23,35.6,30.23,30.23,70,algumas nuvens,26/09/2025 18:16:01
Nouméa,NC,21.3,21.55,21.3,21.3,79,nuvens dispersas,26/09/2025 18:15:09
Belgrade,RS,16.48,15.59,15.21,16.81,54,chuva moderada,26/09/2025 18:14:42
Riga,LV,10.02,9.45,9.04,10.02,91,algumas nuvens,26/09/2025 18:16:08
Bangkok,TH,27.75,30.19,26.94,27.94,70,chuva moderada,26/09/2025 18:14:42
Caracas,VE,29.29,30.18,27.67,30.1,51,nuvens dispersas,26/09/2025 18:15:41
Tokyo,JP,23.64,24.38,22.56,24.23,89,nublado,26/09/2025 18:12:12
Kyiv,UA,7.62,6.71,7.62,7.62,83,céu limpo,26/09/2025 18:16:14
Porto-Novo,BJ,26.9,29.97,26.9,26.9,85,nublado,26/09/2025 18:16:15
Prague,CZ,13.65,13.37,12.34,14.05,88,nublado,26/09/2025 18:13:03
Zagreb,HR,15.5,15.22,14.82,15.5,81,nublado,26/09/2025 18:16:18
Tallinn,EE,12.19,11.61,12.19,12.19,82,céu limpo,26/09/2025 18:16:19
Alofi,NU,21.94,22.49,21.94,21.94,88,nublado,26/09/2025 18:16:21
Moscow,RU,11.09,9.9,10.21,11.3,63,nublado,26/09/2025 18:12:08
Gitega,BI,21.13,20.58,21.13,21.13,49,nublado,26/09/2025 18:16:25
Khartoum,SD,29.46,30.56,29.46,29.46,52,chuva leve,26/09/2025 18:16:27
Avarua,CK,22.03,22.06,22.03,22.03,68,nuvens dispersas,26/09/2025 18:16:28
Vilnius,LT,8.59,8.59,7.45,9.49,76,céu limpo,26/09/2025 18:16:29
Kingston,JM,31.22,38.22,31.22,32.53,75,chuva leve,26/09/2025 18:13:52
Saint-Pierre,PM,16.98,17.19,16.98,16.98,94,chuva moderada,26/09/2025 18:16:32
Nuuk,GL,5.34,3.25,4.93,5.34,87,nuvens dispersas,26/09/2025 18:16:34
Monrovia,LR,26.19,26.19,26.19,26.19,83,chuva leve,26/09/2025 18:16:35
Saint-Denis,RE,20.1,20.18,20.1,20.1,77,nuvens dispersas,26/09/2025 18:16:36
Port-aux-Français,TF,5.47,-1.53,5.47,5.47,96,chuva leve,26/09/2025 18:16:38
Muscat,OM,29.74,33.12,29.74,29.74,64,algumas nuvens,26/09/2025 18:16:41
Pristina,XK,16.92,16.65,16.45,17.32,76,chuva leve,26/09/2025 18:16:44
Apia,WS,24.95,25.64,24.95,24.95,82,chuva leve,26/09/2025 18:16:45
Gibraltar,GI,23.97,24.33,23.97,23.97,73,céu limpo,26/09/2025 18:16:47
Basse-Terre,GP,28.58,32.5,28.58,28.58,74,trovoadas,26/09/2025 18:16:48
Yamoussoukro,CI,27.94,29.93,27.94,27.94,65,chuva leve,26/09/2025 18:16:49
Tbilisi,GE,17.84,17.32,17.84,17.84,63,céu limpo,26/09/2025 18:16:51
Ouagadougou,BF,29.72,31.43,29.72,29.72,55,nublado,26/09/2025 18:12:40
Minsk,BY,5.33,3.94,5.33,5.33,80,céu limpo,26/09/2025 18:15:50
Roseau,DM,28.68,31.55,28.68,28.68,67,nublado,26/09/2025 18:12:49
Hamilton,BM,29.37,34.63,28.94,29.44,75,algumas nuvens,26/09/2025 18:16:56
Bangui,CF,23.13,23.87,23.13,23.13,91,algumas nuvens,26/09/2025 18:16:58
Lima,PE,19.94,20.03,16.14,19.94,78,nublado,26/09/2025 18:13:05
Port-au-Prince,HT,27.79,30.14,27.79,27.79,69,chuviscos,26/09/2025 18:17:01
Cayenne,GF,33.02,37.86,33.02,33.02,55,céu limpo,26/09/2025 18:17:04
Basseterre,KN,31.21,38.21,31.21,31.21,74,algumas nuvens,26/09/2025 18:17:05
Dakar,SN,30.14,37.14,30.07,30.14,80,céu limpo,26/09/2025 18:13:51
Athens,GR,22.0,21.93,20.97,22.43,64,algumas nuvens,26/09/2025 18:15:33
Marigot,MF,31.88,38.88,30.05,31.88,84,algumas nuvens,26/09/2025 18:17:11
Bogotá,CO,17.22,16.22,16.92,18.73,47,nublado,26/09/2025 18:16:52
Beijing,CN,17.94,17.07,17.94,17.94,49,nublado,26/09/2025 18:17:05
Manila,PH,27.11,30.4,26.68,27.29,84,nublado,26/09/2025 18:12:45
Copenhagen,DK,13.96,13.27,13.19,13.97,71,nublado,26/09/2025 18:15:02
Jerusalem,IL,20.4,20.77,20.37,20.4,87,céu limpo,26/09/2025 18:15:45
Luxembourg,LU,10.46,9.86,10.02,11.41,88,nublado,26/09/2025 18:17:24
Kralendijk,BQ,33.99,39.06,33.99,33.99,52,céu limpo,26/09/2025 18:17:27
Georgetown,GY,28.01,29.81,28.01,28.01,63,nuvens dispersas,26/09/2025 18:17:28
Hanoi,VN,26.0,26.0,26.0,26.0,97,chuva moderada,26/09/2025 18:15:35
Luanda,AO,23.0,23.52,23.0,23.0,83,algumas nuvens,26/09/2025 18:17:25
Quito,EC,21.53,20.94,21.53,21.53,46,chuva leve,26/09/2025 18:13:03
Lilongwe,MW,23.92,23.26,23.92,23.92,34,algumas nuvens,26/09/2025 18:17:37
Bamako,ML,31.23,35.87,31.23,31.23,62,algumas nuvens,26/09/2025 18:17:38
Skopje,MK,19.82,19.53,19.82,19.82,64,chuva moderada,26/09/2025 18:17:40
Kingstown,VC,32.6,39.6,32.6,32.6,66,nuvens dispersas,26/09/2025 18:17:41
Cairo,EG,27.42,28.72,26.9,27.42,61,céu limpo,26/09/2025 18:16:53
London,GB,13.44,12.82,12.25,14.44,76,nublado,26/09/2025 18:15:00
Tegucigalpa,HN,29.14,30.37,29.14,29.14,54,nublado,26/09/2025 18:13:19
Yaoundé,CM,21.32,21.99,21.32,21.32,95,chuva leve,26/09/2025 18:17:47
Malé,MV,28.97,34.44,28.97,28.97,79,nublado,26/09/2025 18:17:48
Beirut,LB,25.41,25.81,22.43,25.41,69,algumas nuvens,26/09/2025 18:17:53
Praia,CV,30.3,35.78,30.3,30.3,70,nublado,26/09/2025 18:17:54
Banjul,GM,30.18,37.18,30.18,30.18,79,nublado,26/09/2025 18:17:56
Oranjestad,AW,30.97,37.52,30.97,30.97,70,algumas nuvens,26/09/2025 18:15:10
Conakry,GN,29.04,34.63,29.04,29.04,79,chuva leve,26/09/2025 18:18:00
Valletta,MT,24.3,24.59,24.3,24.3,69,algumas nuvens,26/09/2025 18:18:01
Seoul,KR,16.76,17.1,16.76,16.76,100,nublado,26/09/2025 18:16:46
Nicosia,CY,24.83,25.54,24.83,24.83,83,céu limpo,26/09/2025 18:18:06
Willemstad,CW,35.95,42.57,35.95,35.95,49,céu limpo,26/09/2025 18:15:32
Douglas,IM,12.88,12.08,12.88,12.88,71,nuvens dispersas,26/09/2025 18:18:10
Gustavia,BL,28.74,32.34,28.74,28.74,71,nublado,26/09/2025 18:18:11
Paris,FR,13.09,12.6,12.43,14.09,82,nublado,26/09/2025 18:16:01
Pyongyang,KP,17.35,17.28,17.35,17.35,82,nublado,26/09/2025 18:18:16
Tehran,IR,24.84,23.88,24.84,24.99,19,algumas nuvens,26/09/2025 18:14:44
Lisbon,PT,22.09,21.45,20.84,22.53,42,céu limpo,26/09/2025 18:18:20
Fort-de-France,MQ,33.97,39.02,33.97,33.97,52,nublado,26/09/2025 18:15:35
Papeetē,PF,27.96,29.96,27.73,27.96,65,chuva leve,26/09/2025 18:15:11
Stanley,FK,7.86,2.16,7.86,7.86,93,névoa,26/09/2025 18:18:24
